Minangkabau	Indonesia
alumnus	alumnus
alun	belum
alung	alung
alur	alur
am	am
ama	ama
amaik	amat
amak	mama
amaknyo	ibunya
amal	amal
amalan	amalan
aman	amen
amanah	amanah
amanat	amanat
amandemen	amendemen
amar	amar
amat	amat
amatia	amatir
amatir	amatir
ambar	ambar
ambarawa	ambarawa
ambek	hambat
ambisius	ambisius
ambo	saya
ambon	ambon
ameh	emas
americana	americana
amerika	amerika
amfibi	amfibi
amien	amien
amin	amin
aminah	aminah
amir	amir
amo	amo
amor	amor
ampadu	empedu
ampang	ampang
ampat	empat
ampek	empat
ampia	hampir
ampiang	emping
ampo	hampa
ampuak	empuk
an	an
anai	anai
anak	anak
anakan	anakan
anaknya	anaknya
anaknyo	anaknya
analis	analis
analisis	analisis
analog	analog
anam	enam
ananda	ananda
anas	anas
anatolia	tertentu
anatomi	anatomi
ancak	bagus
ancaknyo	sebaiknya
ancaman	ancaman
ancang	ancang
ancol	ancol
ancua	hancur
ancuanyo	hancurnya
and	and
andal	andal
andalan	andalan
andalas	andalas
andam	andam
andorra	andorra
andun	andun
aneh	aneh
aneka	aneka
anemia	anemia
anestesi	anestesi
angan	angan
angek	hangat
angekan	memanasi
angel	angel
anggan	anggan
anggap	anggap
anggapan	anggapan
anggar	anggar
anggaran	anggaran
anggota	anggota
anggotanyo	anggotanya
anggrek	anggrek
anggun	anggun
angin	angin
angka	angka
angkasa	angkasa
angkaso	angkasa
angkatan	angkatan
angkek	hangat
angko	angka
angkot	angkot
angku	tuan
angkuik	angkut
angkutan	angkutan
anglikan	anglikan
angok	pengap
angola	angola
angota	anggota
ani	ani
animisme	animisme
anis	anis
anjiang	anjing
anjing	anjing
anjuang	anjung
anna	anna
annyo	annya
anopheles	anopheles
ansambel	ansambel
ansua	cicil
antagonis	antagonis
antah	entah
antar	hantar
antara	antara
antarabangsa	antarabangsa
antaranya	antaranya
antaranyo	antaranya
antaretnis	antaretnis
antari	antari
antarktika	antarktika
antaro	antara
antaronyo	diantaranya
antartika	antartika
antena	antena
anti	anti
antiang	anting
antibiotik	antibiotik
antibodi	antibodi
antik	antik
antimalaria	antimalaria
antioksidan	antioksidan
antologi	antologi
antropolog	antropolog
antropologi	antropologi
antun	antun
anu	anu
anugerah	anugerah
anwar	anwar
anyaman	anyaman
anyar	anyar
anyia	amis
anyo	hanya
apa	apa
apabilo	apabila
apak	ayah
apaknyo	bapaknya
aparaik	aparat
apartemen	apartemen
apartheid	apartheid
apbn	apbn
api	api
apian	apian
apit	apit
aplikasi	aplikasi
apo	apa
apobilo	apabila
apokah	apakah
apollo	apollo
apopun	apapun
apresiasi	apresiasi
april	april
apsara	apsara
aqidah	aqidah
aquila	aquila
ar	ar
arab	arab
arabia	arabia
arabica	arabica
aragonyo	harganya
arah	arah
arai	arai
arak	arak
aram	aram
arang	arang
aras	aras
arasy	arasy
arati	arti
aratinyo	artinya
arau	arau
arca	arca
archimedes	archimedes
are	are
area	area
areal	areal
arek	arek
arena	arena
argentata	argentata
argentea	argentea
argentina	argentina
argumen	argumen
ari	ari
arif	arif
arifin	arifin
arinyo	harinya
aristokrat	aristokrat
aristoteles	aristoteles
arizona	arizona
arjuna	arjuna
arkeolog	arkeolog
arkeologi	arkeologi
arkeologis	arkeologis
arktik	arktik
armada	armada
armenia	armenia
armijn	armijn
aro	aro
arok	harap
aroma	aroma
arse	arse
arsenal	arsenal
arsip	arsip
arsitek	arsitek
arsitektur	arsitektur
arsitekturnyo	arsitekturnya
art	art
artefak	artefak
arteri	arteri
arthropoda	arthropoda
arti	arti
artian	artinya
artikel	artikel
artikelnyo	artikelnya
artikulasi	artikulasi
artinya	artinya
artinyo	artinya
artis	artis
artistik	artistik
aru	aru
aruih	arus
arus	arus
arwah	arwah
arya	arya
as	as
asa	asa
asahan	asahan
asal	asal
asali	asali
asalinyo	aslinya
asalkan	asalkan
asalnyo	asalnya
asam	asam
asanyo	asalnya
asas	asas
asasi	asasi
asean	asean
aset	aset
asi	asi
asia	asia
asian	asian
asiang	asing
asin	asin
asinan	asinan
asing	asing
asisten	asisten
asli	asli
aslinyo	aslinya
asma	asma
asmara	asmara
aso	aso
asongan	asongan
asosiasi	asosiasi
aspek	aspek
aspirasi	aspirasi
aspirin	aspirin
asrama	asrama
asri	asri
assimilis	assimilis
asteroid	asteroid
astronom	astronom
astronomi	astronomi
asuahan	asuhan
asuhan	asuhan
asumsi	asumsi
asuransi	asuransi
asy	asy
at	at
atar	atar
atas	atas
atasi	atasi
atau	atau
ataupun	ataupun
ateh	atas
atehnyo	atasnya
ati	ati
atlantik	atlantik
atlas	atlas
atlet	atlet
atletik	atletik
atlit	atlit
atmosfer	atmosfer
ato	atau
atok	atap
atoknyo	atapnya
atom	atom
atra	atra
atraksi	atraksi
atribut	atribut
atrium	atrium
atua	atur
atur	atur
aturan	aturan
au	au
audio	audio
audisi	audisi
audit	audit
auditorium	auditorium
augusta	augusta
aula	aula
aulia	aulia
aur	aur
aurea	aurea
australia	australia
australis	australis
austria	austria
awa	saya
awak	saya
awal	awal
awalan	awalan
awalnya	awalnya
awalnyo	awalnya
awam	awam
awan	awan
awang	awang
awanyo	mulanya
awasi	awasi
ayah	ayah
ayahnya	ayahnya
ayahnyo	ayahnya
ayaik	ayat
ayam	ayam
ayat	ayat
ayia	air
ayu	ayu
azan	azan
azerbaijan	azerbaijan
azhar	azhar
azimut	azimut
aziz	aziz
b	b
ba	bagaimana
ba'a	bagaimana
baa	bagaimana
baabaik	berabad
baadaik	beradat
baadaptasi	beradaptasi
baadok	berhadapan
baadokan	berhadapan
baafiliasi	berafiliasi
baagamo	beragama
baagiah	diberikan
baaka	berakal
baakhia	berakhir
baakhlak	berakhlak
baakia	berakhir
baakibaik	berakibat
baaktivitas	beraktivitas
baalamaik	beralamat
baalasan	beralasan
baaliah	beralih
baaliran	beraliran
baalkohol	beralkohol
baanak	beranak
baaneka	beraneka
baanggotaan	beranggotakan
baangok	bernafas
baanjuang	beranjung
baarago	berharga
baarati	berarti
baarok	berharap
baaroma	beraroma
baarti	berarti
baasa	bahasa
baasia	berhasil
baato	mengapa
bab	bab
baba	baba
babadag	berbedak
babadan	berbadan
babagai	berbagai
babagi	berbagi
babahan	berbahan
babahaso	berbahasa
babahayo	berbahaya
babaju	berbaju
babak	babak
babakaik	berbakat
babaleh	berbalas
babaliak	berbalik
baban	beban
babandiang	berbanding
babanjar	berbanjar
babantuak	berbentuk
babantuk	berbentuk
babarapa	beberapa
babarapo	beberapa
babasis	berbasis
babat	babat
babatasan	berbatasan
babateh	berbatasan
babatehan	berbatasan
babaua	berbaur
babeda	berbeda
babedo	berbeda
baberapo	beberapa
babi	babi
babicaro	berbicara
babincang	berbincang
babintang	berbintang
babisnis	berbisnis
babiso	berbisa
babuah	berbuah
babudayo	berbudaya
babuek	berbuat
babukik	berbukit
babumbu	berbumbu
babungkuih	dibungkus
babungo	berbunga
babunyi	berbunyi
baburu	berburu
bacaan	bacaan
bacabang	bercabang
bacahayo	bercahaya
bacakak	berkelahi
bacampua	bercampur
bacang	bacang
bacarai	bercerai
bacarito	bercerita
bacito	bercita
baco	baca
bacoan	bacakan
bacocok	bercocok
bacorak	bercorak
bacumbu	bercumbu
bacurito	bercerita
badacak	berdecak
badagang	berdagang
badah	bedah
badak	badak
badakekan	berdekatan
badakwah	berdakwah
badampak	berdampak
badampiangan	berdampingan
badan	badan
badannyo	badannya
badarah	berdarah
badasa	berdasar
badasaan	berdesakan
badasakan	berdasarkan
badasar	berdasar
badasaran	berdasarkan
badasarkan	berdasarkan
badaun	berdaun
badawi	badawi
badebat	berdebat
badendang	berdendang
badiam	berdiam
badiameter	berdiameter
badinas	berdinas
badiri	berdiri
badirinyo	berdirinya
badminton	badminton
badoa	berdoa
badui	badui
badunsanak	bersaudara
baduo	berdua
badurasi	berdurasi
baduri	berduri
baevolusi	berevolusi
bafokus	berfokus
bafungsi	berfungsi
bagabuang	bergabung
bagabung	bergabung
bagai	bagai
bagaimana	bagaimana
bagaimanapun	bagaimanapun
bagaimanopun	bagaimanapun
bagak	berani
bagalimang	bergelimang
bagalombang	bergelombang
bagaluik	bergelut
bagan	bagan
baganti	berubah
bagantian	bergantian
bagantuang	bergantung
bagarak	bergerak
bagarigi	bergerigi
bagarih	bergaris
bagas	bagas
bagawan	begawan
bagaya	bergaya
bagengsi	bergengsi
bagerak	bergerak
bagerilya	bergerilya
bagi	bagi
bagian	bagian
baginda	baginda
bagindo	baginda
baginyo	baginya
bagotong	bergotong
bagulek	bergulat
baguno	berguna
bagurau	bergurau
baguru	berguru
bagus	bagus
bahadapan	berhadapan
bahadokan	berhadapan
bahagia	bahagia
bahagian	bahagian
bahaluan	berhaluan
bahambuih	dihembus
bahan	bahan
bahana	bahana
bahannyo	bahannya
bahar	bahar
baharago	berharga
bahari	bahari
baharu	baharu
bahasa	bahasa
bahasan	bahasan
bahasia	berhasil
bahasil	berhasil
bahaso	bahasa
bahasonyo	bahasanya
bahawa	bahwa
bahawo	bahwa
bahayo	bahaya
bahkan	bahkan
bahorok	berharap
bahrain	bahrain
bahri	bahri
bahu	bahu
bahubuangan	berhubungan
bahubungan	berhubungan
bahwa	bahwa
bahwasanyo	bahwasanya
baia	bayar
baiak	baik
baiaknyo	sebaiknya
baik	baik
baiklim	beriklim
baiknyo	baiknya
baikua	betul
baiman	beriman
baimigrasi	berimigrasi
bainteraksi	berinteraksi
baisi	berisi
bait	bait
baito	begitu
baitu	adalah
baitupun	begitupun
baja	baja
bajak	bajak
bajalan	berjalan
bajanji	berjanji
bajano	bejana
bajarak	berjarak
bajaso	berjasa
bajau	bajau
bajauahan	berjauhan
bajayo	berjaya
bajinih	jernih
bajo	baja
baju	baju
bajudua	berjudul
bajudul	berjudul
bajumlah	berjumlah
bajunyo	bajunya
bak	seperti
baka	bakar
bakaadilan	berkeadilan
bakaba	berkabar
bakabangsaan	berkebangsaan
bakabangsoan	berkebangsaan
bakabek	diikat
bakacimpuang	berkecimpung
bakaduduakan	berkedudukan
bakadudukan	berkedudukan
bakaik	bakat
bakainginan	berkeinginan
bakaitan	berkaitan
bakaki	berkaki
bakakuatan	berkekuatan
bakal	bakal
bakalabiahan	berkelebihan
bakalanjuikan	berkelanjutan
bakalanjutan	berkelanjutan
bakaliliang	berkeliling
bakalompok	berkelompok
bakamampuan	berkemampuan
bakambang	berkembang
bakambangnyo	berkembangnya
bakanalan	berkenalan
bakandang	dikandangkan
bakantua	berkantor
bakapanjangan	berkepanjangan
bakapasitas	berkapasitas
bakar	bakar
bakarajo	bekerja
bakarakter	berkarakter
bakarier	berkarir
bakarir	berkarir
bakarjo	bekerja
bakarya	berkarya
bakasimpulan	berkesimpulan
bakat	bakat
bakatik	berkeluarga
bakatinggian	sombong
bakatnyo	bakatnya
bakato	berkata
bakaturunan	berketurunan
bakau	bakau
bakawan	berkawan
bakayu	berkayu
bakecek	mengatakan
bakeh	bekas
bakemah	berkemah
bakenalan	berkenalan
baki	baki
bakiprah	berkiprah
bakisah	berkisah
bakisar	berkisar
bakmi	bakmi
bako	bako
bakolaborasi	berkolaborasi
bakompetisi	berkompetisi
bakomunikasi	berkomunikasi
bakonsultasi	berkonsultasi
bakontribusi	berkontribusi
bakpao	bakpao
bakso	bakso
bakteri	bakteri
bakti	bakti
baku	baku
bakuaso	berkuasa
bakuliah	berkuliah
bakulik	berkulit
bakuliliang	berkeliling
bakuliliangi	berkeliling
bakumpua	berkumpul
bakunjuang	berkunjung
bakunyo	bakunya
bakurang	berkurang
bakureh	dikuras
bakwan	bakwan
bala	celaka
balabiah	berlebih
balabiahan	berlebihan
balabuah	berlabuh
balago	berlaga
balah	belah
balahan	belahan
balai	balai
balaia	berlayar
balain	berbeda
balainan	berbeda
balaja	belajar
balajar	belajar
balakang	belakang
balakangan	belakangan
balaki	bersuami
balakon	berlakon
balaku	berlaku
balakunyo	berlakunya
balalu	berlalu
balandaskan	berlandaskan
balando	belanda
balangsuang	berlangsung
balangsuangnyo	berlangsungnya
balanjuik	berlanjut
balansuang	berlangsung
balantai	berlantai
balap	balap
balapan	balapan
balapih	berlapis
balari	berlari
balatiah	berlatih
balatih	berlatih
balawanan	berlawanan
balayar	berlayar
bale	bale
baleh	balas
balehan	balasan
balet	balet
bali	bali
balia	kembali
baliak	kembali
baliaknyo	kembalinya
baliau	beliau
balibur	berlibur
balik	balik
balimau	mandi
balimo	berlima
balimpah	berlimpah
balinduang	berlindung
balipek	berlipat
balisensi	berlisensi
balok	balok
balokasi	berlokasi
balomba	berlomba
balubang	berlubang
baluik	balut
balun	balun
bamacam	bermacam
bamain	bermain
bamakasuik	bermaksud
bamakna	bermakna
bamakno	bermakna
bamaksuik	bermaksud
bamalam	bermalam
bamanfaat	bermanfaat
bamarkas	bermarkas
bamasalah	bermasalah
bamasyarakaik	bermasyarakat
bambang	bambang
bambu	bambu
bamerek	bermerk
bamotor	bermotor
bamuaro	bermuara
bamukasuik	bermaksud
bamukim	bermukim
bamulo	bermula
bamusyawarah	bermusyawarah
ban	ban
bana	sangat
banama	bernama
banamo	bernama
banang	benang
banauang	bernaung
bancano	bencana
band	band
banda	banda
bandang	bandang
bandar	bandar
bandara	bandara
bandaro	bandara
bandera	bendera
bandiang	banding
bando	bando
banduang	bandung
bandung	bandung
bang	bang
bangau	bangau
bangawan	bengawan
bangka	bangka
bangkahulu	bangkahulu
bangkak	bengkak
bangkik	bangkit
bangkok	bangkok
bangkrut	bangkrut
bangku	bangku
bangladesh	bangladesh
bangsa	bangsa
bangsanyo	bangsanya
bangsawan	bangsawan
bangso	bangsa
bangun	bangun
bangunan	bangunan
bangunlah	bangunlah
bangunnyo	bangunnya
bani	bani
baniah	benih
baniaik	berniat
banilai	bernilai
banjar	banjar
banjaran	banjaran
banjarmasin	banjarmasin
banjia	banjir
banjir	banjir
bank	bank
bankir	bankir
banomor	bernomor
bansaik	miskin
bantang	bantang
bantar	bantar
banten	banten
banteng	banteng
banting	banting
bantu	bantu
bantuak	bentuk
bantuakan	bentuknya
bantuaknyo	sepertinya
bantuan	bantuan
bantuk	bentuk
bantuknyo	bentuknya
banua	benua
banuansa	bernuansa
banutrisi	bernutrisi
banyak	banyak
banyaknyo	banyaknya
banyanyi	bernyanyi
banyumas	banyumas
banyuwangi	banyuwangi
baok	bawa
baolahraga	berolahraga
baoperasi	beroperasi
baorientasi	berorientasi
baoro	digorok
bapa	bapak
bapacah	berpecah
bapacaliak	berpenglihatan
bapacaran	berpacaran
bapacu	berpacu
bapagang	berpegang
bapak	bapak
bapakai	dipakai
bapakaian	berpakaian
bapaknyo	bapaknya
bapaluah	berpeluh
bapandangan	berpandangan
bapandapaik	berpendapat
bapandapek	berpendapat
bapandidiakan	berpendidikan
bapanduduak	berpenduduk
bapangaruah	berpengaruh
bapangaruh	berpengaruh
bapanghuni	berpenghuni
bapangkek	berpangkat
baparang	berperang
bapartisipasi	berpartisipasi
baparuntuak	teruntuk
bapasangan	berpasangan
bapauni	berpenghuni
baperan	berperan
bapidato	berpidato
bapihak	berpihak
bapikia	berfikir
bapindah	berpindah
bapindahnyo	berpindah
bapisah	berpisah
bapolitik	berpolitik
bapori	berpori
baposisi	berposisi
bapotensi	berpotensi
bappenas	bappenas
baprestasi	berprestasi
baprofesi	berprofesi
baptis	baptis
bapuaso	berpuasa
bapuluah	berpuluh
bapura	berpura
bapusat	berpusat
bapusek	berpusat
baputa	berputar
bar	bar
bara	berapa
barada	berada
baradiak	beradik
barado	berada
baradu	beradu
baragam	beragam
baragamo	beragama
barah	barah
baraia	berair
baraik	barat
barajo	belajar
barakaik	berkah
barakhia	berakhir
barakhir	berakhir
barakibaik	berakibat
baraliah	beralih
baralih	beralih
baramulo	bermula
baranang	berenang
barancano	berencana
barang	barang
barangan	berangan
baranggotaan	beranggotakan
baranggotakan	beranggotakan
barangin	berangin
barangkek	berangkat
barani	berani
baranjak	beranjak
barantai	berantai
baranti	berhenti
barapi	berapi
bararti	berarti
barasia	bersih
barasiah	bersih
barasil	berhasil
baraso	berasa
barat	barat
barati	berarti
baratok	beratap
baratuih	beratus
barawa	berawal
barawal	berawal
barawan	berawan
barbagai	berbagai
barbara	barbara
barbata	barbata
bardasarkan	berdasarkan
bareaksi	bereaksi
baredar	beredar
bareh	beras
barek	berat
bareknyo	beratnya
barencana	berencana
barhasil	berhasil
bariang	baring
barih	baris
barik	barik
barikuik	berikut
barikuiknyo	berikutnya
baringin	beringin
baris	baris
barisan	barisan
barisi	berisi
barisikan	berisikan
barisiko	beresiko
barita	berita
barito	berita
barjarak	berjarak
barlian	berlian
barokah	berkah
barombai	berumbai
baron	baron
baroperasi	beroperasi
bartajuak	bertajuk
baru	baru
baruah	baruh
baruak	monyet
baruang	beruang
barubah	berubah
barubuangan	berhubungan
barulah	barulah
barulang	berulang
barumah	berumah
barumua	berumur
barumun	berkerumun
barundiang	berunding
barung	barung
baruntun	beruntun
barunyo	barunya
barupa	berupa
barupo	berupa
barus	barus
barusaho	berusaha
barusao	berusaha
barusia	berusia
bas	bas
basa	basa
basabalahan	bersebelahan
basabda	bersabda
basabuik	disebut
basah	basah
basahabaik	bersahabat
basaiang	bersaing
basaing	bersaing
basakola	bersekolah
basakolah	bersekolah
basaksi	bersaksi
basakutu	bersekutu
basalah	bersalah
basama	bersama
basamangaik	bersemangat
basambuang	bersambung
basambunyi	bersembunyi
basamo	bersama
basamoan	bersama
basamonyo	bersamanya
basanda	bersandar
basandi	berdasarkan
basandiang	bersanding
basanjato	bersenjata
basarato	beserta
basarobok	bertemu
basatu	bersatu
basegi	bersegi
basejarah	bersejarah
baselo	bersila
baserta	beserta
basi	basi
basifaik	bersifat
basifat	bersifat
basifek	bersifat
basijarah	bersejarah
basikap	bersikap
basikola	bersekolah
basikolah	bersekolah
basilek	bersilat
basimpati	bersimpati
basinar	bersinar
basingguangan	bersinggungan
basinjato	bersenjata
basipaik	bersifat
basipek	bersifat
basir	basir
basis	basis
basisi	bersisi
basisiak	bersisik
basket	basket
baso	bahasa
basobok	bertemu
basonyo	bahwasanya
basri	basri
bastatus	berstatus
basuah	basuh
basuang	dihasut
basubarangan	berseberangan
basudaro	bersaudara
basuku	bersuku
basuliang	bersuling
basumangaik	bersemangat
basumber	bersumber
basumpah	bersumpah
basung	basung
basungguah	bersungguh
basuo	bersua
basurek	bersurat
bata	bata
batagak	mendirikan
batagaknyo	berdirinya
batahan	bertahan
batahap	bertahap
batahun	bertahun
batajuak	bertajuk
batajuk	bertajuk
batak	batak
batalua	bertelur
batambah	bertambah
batambahnyo	bertambahnya
batambuah	bertumbuh
batampaik	bertempat
batampek	bertempat
batamu	bertamu
batanago	bertenaga
batanak	menanak
batandiang	bertanding
batando	bertanda
batang	batang
batangan	batangan
batangga	bertangga
batanggang	lembur
batangguang	tanggung
batangguangjawab	bertanggungjawab
batangka	bertengkar
batangkai	bertangkai
batangnyo	batangnya
batani	bertani
batantangan	bertentangan
batanyo	bertanya
batapaikan	bertatapan
batapatan	bertepatan
batapekan	bertepatan
batara	batara
bataraf	bertaraf
batarimo	menerima
batas	batas
bataun	bertahun
bateh	batas
batehnyo	batasnya
batekad	bertekad
batema	bertema
batemakan	bertemakan
baterai	baterai
bateras	berteras
batigo	bertiga
batik	batik
batikam	berkelahi
batin	batin
batindak	bertindak
batingkek	bertingkat
batingkok	bertingkat
batino	betina
batokok	dipukul
batombe	berketombe
batu	batu
batua	betul
batuah	bertuah
batuak	batuk
batuan	bertuan
batuang	dituang
batubara	batubara
batubaro	batubara
batugas	bertugas
batugeh	bertugas
batujuan	bertujuan
batuka	bertukar
batulang	bertulang
batulih	ditulis
batumpu	bertumpu
batumpuak	bertumpuk
batunangan	bertunangan
batunjuak	bertajuk
baturuik	berturut
baturunan	diturunkan
batutua	bertutur
baubah	berubah
baubuangan	berhubungan
baujuang	berujung
baukuran	berukuran
baulang	berulang
baulu	berhulu
baumua	berumur
baun	bau
baunnyo	baunya
bauntuak	bentuk
baunyo	baunya
baupayo	berupaya
bausaho	berusaha
bausao	berusaha
bausia	berusia
bavariasi	bervariasi
bawah	bawah
bawahan	bawahan
bawahnyo	bawahnya
bawang	bawang
bawarna	berwarna
bawarno	berwarna
bawean	bawean
bayam	bayam
bayan	bayan
bayang	bayang
bayi	bayi
bayu	bayu
bayua	bayur
bayung	bayung
bayur	bayur
bazar	bazar
bbm	bbm
bc	bc
be	be
beasiswa	beasiswa
beata	beata
beaufort	beaufort
beaulieu	beliau
beban	beban
bebas	bebas
bebe	bebe
beberapa	beberapa
beberapo	beberapa
becak	becak
beda	beda
bedah	bedah
bedanyo	bedanya
bedo	beda
begitu	begitu
beijing	beijing
beirut	beirut
bek	bek
bekas	bekas
bekasi	bekasi
beko	nanti
bela	bela
beladiri	beladiri
belah	belah
belahan	belahan
belaja	belajar
belakang	belakang
belakangnyo	belakangnya
belanda	belanda
belando	belanda
belgia	belgia
beliau	beliau
belida	belida
belitung	belitung
ben	ben
benar	benar
bend	bend
benda	benda
bendahara	bendahara
bendera	bendera
benderanyo	benderanya
bendi	bendi
bendungan	bendungan
bengak	bodoh
bengkalis	bengkalis
bengke	bangkai
bengkel	bengkel
bengkulu	bengkulu
benin	benin
bennetti	bennetti
bent	bent
bentara	bentara
benteang	benteng
benteng	benteng
bentuk	bentuk
benua	benua
berada	berada
berado	berada
berang	marah
berarti	berarti
berasa	berasa
berasal	berasal
berat	berat
berbagai	berbagai
berbahasa	berbahasa
berbakat	berbakat
berbasis	berbasis
berbatas	berbatasan
berbatasan	berbatasan
berbeda	berbeda
berbunyi	berbunyi
bercak	bercak
bercerai	bercerai
berdakwah	berdakwah
berdendang	berdendang
berdiameter	berdiameter
berdiri	berdiri
berdoa	berdoa
berek	berek
berfungsi	berfungsi
berhadapan	berhadapan
berhak	berhak
berhasil	berhasil
berikuiknyo	berikutnya
berikut	berikut
beringin	beringin
berita	berita
berjalan	berjalan
berkah	berkah
berkaitan	berkaitan
berkali	berkali
berkat	berkat
berkata	berkata
berkedudukan	berkedudukan
berkembang	berkembang
berkuasa	berkuasa
berlaku	berlaku
berlebihan	berlebihan
berlin	berlin
berlokasi	berlokasi
bermacam	bermacam
bernama	bernama
bernilai	bernilai
bernuansa	bernuansa
berorientasi	berorientasi
berperan	berperan
berprestasi	berprestasi
bersama	bersama
bersatu	bersatu
bersih	bersih
bersyukur	bersyukur
bertambah	bertambah
bertanggung	bertanggung
bertaraf	bertaraf
bertugas	bertugas
bertujuan	bertujuan
berturuik	berturut
beru	beru
berubah	berubah
beruk	monyet
berulang	berulang
berupa	berupa
berupo	berupa
besar	besar
besarnya	besarnya
beserta	beserta
besi	besi
best	best
beta	beta
betapa	betapa
betawi	betawi
betis	betis
beton	beton
betul	betul
betung	betung
bhakti	bhakti
bharata	bharata
bhayangkara	bhayangkara
bhinneka	bhinneka
bhutan	bhutan
bia	biar
biak	biak
biapun	biarpun
biasa	biasa
biasanyo	biasanya
biaso	biasa
biasonya	biasanya
biasonyo	biasanya
biaya	biaya
biayo	biaya
biayonyo	biayanya
bicara	bicara
bicaronyo	bicaranya
bicolor	bicolor
bidadari	bidadari
bidak	bidak
bidal	bidal
bidang	bidang
bidangnyo	bidangnya
biennale	biennale
bifida	bifida
bihun	bihun
bijaksana	bijaksana
bijaksano	bijaksana
biji	biji
bijih	biji
biksu	biksu
bila	bila
bilah	bilah
bilal	bilal
bilang	bilang
bilangan	bilangan
biliak	kamar
biliar	biliar
billboard	billboard
bilo	kapan
bilou	kapan
bimbiangan	bimbingan
bimbingan	bimbingan
bin	bin
bina	bina
binaan	binaan
binantang	binatang
binatang	binatang
bingkai	bingkai
binguang	bingung
bini	istri
bininyo	istrinya
binjai	binjai
binomial	binomial
bintan	bintan
bintang	bintang
bintara	bintara
binti	binti
bintiak	bintik
bio	bio
biografi	biografi
biokimia	biokimia
biola	biola
